Property Code,Total Units (2022Jul) (Storage),Occupied (2022Jul) (Storage),Percentage (2022Jul) (Storage),New Lease (2022Jul) (Storage),Ending Lease (2022Jul) (Storage),Price (2022Jul) (Storage),Lease_Turnover_Rate (2022Jul) (Storage),Ending_Lease_Rate (2022Jul) (Storage),Price_per_Unit (2022Jul) (Storage),Total Units (2022Aug) (Storage),Occupied (2022Aug) (Storage),Percentage (2022Aug) (Storage),New Lease (2022Aug) (Storage),Ending Lease (2022Aug) (Storage),Price (2022Aug) (Storage),Lease_Turnover_Rate (2022Aug) (Storage),Ending_Lease_Rate (2022Aug) (Storage),Price_per_Unit (2022Aug) (Storage),Total Units (2022Sep) (Storage),Occupied (2022Sep) (Storage),Percentage (2022Sep) (Storage),New Lease (2022Sep) (Storage),Ending Lease (2022Sep) (Storage),Price (2022Sep) (Storage),Lease_Turnover_Rate (2022Sep) (Storage),Ending_Lease_Rate (2022Sep) (Storage),Price_per_Unit (2022Sep) (Storage),Total Units (2022Oct) (Storage),Occupied (2022Oct) (Storage),Percentage (2022Oct) (Storage),New Lease (2022Oct) (Storage),Ending Lease (2022Oct) (Storage),Price (2022Oct) (Storage),Lease_Turnover_Rate (2022Oct) (Storage),Ending_Lease_Rate (2022Oct) (Storage),Price_per_Unit (2022Oct) (Storage),Total Units (2022Dec) (Storage),Occupied (2022Dec) (Storage),Percentage (2022Dec) (Storage),New Lease (2022Dec) (Storage),Ending Lease (2022Dec) (Storage),Price (2022Dec) (Storage),Lease_Turnover_Rate (2022Dec) (Storage),Ending_Lease_Rate (2022Dec) (Storage),Price_per_Unit (2022Dec) (Storage),Total Units (2023Apr) (Storage),Occupied (2023Apr) (Storage),Percentage (2023Apr) (Storage),New Lease (2023Apr) (Storage),Ending Lease (2023Apr) (Storage),Price (2023Apr) (Storage),Lease_Turnover_Rate (2023Apr) (Storage),Ending_Lease_Rate (2023Apr) (Storage),Price_per_Unit (2023Apr) (Storage),Total Units (2023May) (Storage),Occupied (2023May) (Storage),Percentage (2023May) (Storage),New Lease (2023May) (Storage),Ending Lease (2023May) (Storage),Price (2023May) (Storage),Lease_Turnover_Rate (2023May) (Storage),Ending_Lease_Rate (2023May) (Storage),Price_per_Unit (2023May) (Storage)
y31201,47.0,29.0,61.7%,1.0,0.0,30.0,2.13%,0.0%,63.83%,47.0,28.0,59.57%,0.0,19.0,30.0,0.0%,40.43%,63.83%,47.0,28.0,59.57%,2.0,19.0,30.0,4.26%,40.43%,63.83%,47.0,27.0,57.45%,0.0,33.0,30.0,0.0%,70.21%,63.83%,47.0,28.0,59.57%,0.0,23.0,30.0,0.0%,48.94%,63.83%,47.0,28.0,59.57%,0.0,23.0,30.0,0.0%,48.94%,63.83%,47.0,27.0,57.45%,0.0,27.0,30.0,0.0%,57.45%,63.83%
y31202,63.0,47.0,74.6%,1.0,1.0,25.0,1.59%,1.59%,39.68%,63.0,47.0,74.6%,0.0,18.0,25.0,0.0%,28.57%,39.68%,63.0,47.0,74.6%,0.0,18.0,25.0,0.0%,28.57%,39.68%,63.0,47.0,74.6%,0.0,50.0,25.0,0.0%,79.37%,39.68%,63.0,47.0,74.6%,1.0,19.0,25.0,1.59%,30.16%,39.68%,63.0,46.0,73.02%,1.0,18.0,25.0,1.59%,28.57%,39.68%,63.0,47.0,74.6%,0.0,18.0,25.0,0.0%,28.57%,39.68%
y31251,70.0,58.0,82.86%,1.0,3.0,50.0,1.43%,4.29%,71.43%,70.0,52.0,74.29%,0.0,23.0,50.0,0.0%,32.86%,71.43%,70.0,56.0,80.0%,0.0,20.0,50.0,0.0%,28.57%,71.43%,70.0,56.0,80.0%,0.0,47.0,50.0,0.0%,67.14%,71.43%,70.0,56.0,80.0%,0.0,18.0,50.0,0.0%,25.71%,71.43%,70.0,54.0,77.14%,1.0,20.0,50.0,1.43%,28.57%,71.43%,70.0,52.0,74.29%,0.0,25.0,50.0,0.0%,35.71%,71.43%
y31300,393.0,204.0,51.91%,1.0,2.0,25.0,0.25%,0.51%,6.36%,393.0,201.0,51.15%,1.0,201.0,25.0,0.25%,51.15%,6.36%,393.0,203.0,51.65%,2.0,198.0,25.0,0.51%,50.38%,6.36%,393.0,202.0,51.4%,1.0,352.0,25.0,0.25%,89.57%,6.36%,393.0,201.0,51.15%,1.0,204.0,25.0,0.25%,51.91%,6.36%,393.0,210.0,53.44%,0.0,194.0,25.0,0.0%,49.36%,6.36%,393.0,206.0,52.42%,3.0,194.0,25.0,0.76%,49.36%,6.36%
y31600,253.0,143.0,56.52%,0.0,1.0,25.0,0.0%,0.4%,9.88%,253.0,140.0,55.34%,1.0,116.0,25.0,0.4%,45.85%,9.88%,253.0,141.0,55.73%,0.0,117.0,25.0,0.0%,46.25%,9.88%,253.0,142.0,56.13%,0.0,118.0,25.0,0.0%,46.64%,9.88%,253.0,143.0,56.52%,0.0,228.0,25.0,0.0%,90.12%,9.88%,253.0,140.0,55.34%,0.0,116.0,25.0,0.0%,45.85%,9.88%,253.0,140.0,55.34%,1.0,121.0,25.0,0.4%,47.83%,9.88%
y31602,215.0,43.0,20.0%,1.0,0.0,30.0,0.47%,0.0%,13.95%,215.0,42.0,19.53%,0.0,173.0,30.0,0.0%,80.47%,13.95%,215.0,42.0,19.53%,0.0,193.0,30.0,0.0%,89.77%,13.95%,215.0,42.0,19.53%,0.0,201.0,30.0,0.0%,93.49%,13.95%,215.0,40.0,18.6%,0.0,181.0,30.0,0.0%,84.19%,13.95%,215.0,82.0,38.14%,0.0,144.0,30.0,0.0%,66.98%,13.95%,215.0,90.0,41.86%,3.0,130.0,30.0,1.4%,60.47%,13.95%
y40210,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y40230,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
y40790,60.0,29.0,48.33%,6.0,6.0,50.0,10.0%,10.0%,83.33%,60.0,27.0,45.0%,0.0,37.0,50.0,0.0%,61.67%,83.33%,60.0,26.0,43.33%,0.0,37.0,50.0,0.0%,61.67%,83.33%,60.0,26.0,43.33%,1.0,42.0,50.0,1.67%,70.0%,83.33%,60.0,26.0,43.33%,2.0,40.0,50.0,3.33%,66.67%,83.33%,60.0,26.0,43.33%,0.0,46.0,50.0,0.0%,76.67%,83.33%,60.0,24.0,40.0%,2.0,47.0,50.0,3.33%,78.33%,83.33%
y40910,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
